preferred_name,name_name,name_acronym,name_preferred,name_language,type,repository_status,year_established,preferred_org_name,org_name_name,org_name_acronym,org_name_preferred,preferred_org_unit_name,org_unit_name_name,org_unit_name_acronym,org_unit_name_preferred,date_modified,date_created,date_created_month_year
Research Showcase @ CMU,Research Showcase @ CMU,,name,en,institutional,fully_functional,,Carnegie Mellon University,Carnegie Mellon University,,name,,,,,3/21/2018 11:41,3/23/2009 14:14,2009-03
ResearchWorks at the University of Washington,ResearchWorks at the University of Washington,,name,en,institutional,replaced_by_new_url,,University of Washington,University of Washington,UW,name,Health Sciences Libraries,Health Sciences Libraries,,name,3/16/2018 12:02,9/6/2006 10:10,2006-09
Resource Repository,Resource Repository,,name,en,institutional,fully_functional,2007,Genetic Alliance,Genetic Alliance,,name,,,,,2/19/2014 17:13,4/20/2007 12:12,2007-04
Rhode Island College Digital Commons,Rhode Island College Digital Commons,,name,en,institutional,fully_functional,,Rhode Island College,Rhode Island College,,name,,,,,3/16/2018 12:02,7/10/2013 16:48,2013-07
Rhodes College Digital Repository,Rhodes College Digital Repository,,name,en,institutional,replaced_by_new_url,,Rhodes College,Rhodes College,,name,,,,,3/16/2018 12:02,2/3/2009 13:13,2009-02
Rice Digital Scholarship Archive,Rice Digital Scholarship Archive,,name,en,institutional,fully_functional,,Rice University,Rice University,,name,Fondren Library,Fondren Library,,name,3/21/2018 11:41,8/4/2006 15:15,2006-08
Rpion College Senior Showcase,Rpion College Senior Showcase,,name,en,institutional,fully_functional,,Ripon College,Ripon College,,name,,,,,4/17/2018 12:29,11/10/2016 14:41,2016-11
SCU Digital Collections,SCU Digital Collections,,name,en,institutional,fully_functional,,Santa Clara University,Santa Clara University,,name,Santa Clara University Library,Santa Clara University Library,,name,4/17/2018 12:29,3/26/2015 12:16,2015-03
SETI Institute's Research Repository,SETI Institute's Research Repository,,name,en,institutional,fully_functional,,SETI Institute,SETI Institute,,name,,,,,4/17/2018 12:29,7/20/2016 14:30,2016-07
SFA ScholarWorks,SFA ScholarWorks,,name,en,institutional,fully_functional,,Stephen F. Austin State University,Stephen F. Austin State University,,name,,,,,4/17/2018 12:29,11/12/2014 9:54,2014-11
SHAREOK.org,SHAREOK repository,SHAREOK.org,acronym,en,institutional,fully_functional,,University of Oklahoma / Oklahoma State University,University of Oklahoma / Oklahoma State University,,name,,,,,1/21/2019 15:58,9/20/2013 10:39,2013-09
SIOExplorer Digital Library Project,SIOExplorer Digital Library Project,SIOExplorer,name,en,institutional,fully_functional,2003,Scripps Institution of Oceanography,Scripps Institution of Oceanography,SIO,name,,,,,5/17/2012 11:44,12/30/2005 12:36,2005-12
SJSU ScholarWorks,SJSU ScholarWorks,,name,en,institutional,fully_functional,,San Jose State University,San Jose State University,,name,,,,,3/21/2018 11:41,11/10/2010 11:11,2010-11
SMU Digital Repository,SMU Digital Repository,,name,en,institutional,fully_functional,,Southern Methodist University,Southern Methodist University,,name,,,,,3/21/2018 11:41,11/30/2011 16:16,2011-11
SNHU Academic Archive,SNHU Academic Archive,,name,en,institutional,fully_functional,,Southern New Hampshire University,Southern New Hampshire University,,name,,,,,3/16/2018 12:02,3/23/2011 11:11,2011-03
SOCR,Statistics Online Computational Resources,SOCR,acronym,en,disciplinary,fully_functional,2002,"University of California, Los Angeles","University of California, Los Angeles",,name,,,,,4/16/2010 16:16,7/26/2007 14:14,2007-07
SOPHIA,SOPHIA,,name,en,institutional,fully_functional,,St. Catherine University,St. Catherine University,,name,,,,,3/16/2018 12:02,4/13/2011 9:09,2011-04
SOURCE,SOURCE,,name,en,institutional,fully_functional,,University of Colorado Denver,University of Colorado Denver,,name,School of Education and Human Development,School of Education and Human Development,,name,4/17/2018 12:29,2/23/2016 15:09,2016-02
SPARK,Scholarship at Parkland,SPARK,acronym,en,institutional,fully_functional,,Parkland College,Parkland College,,name,,,,,3/21/2018 11:41,3/13/2012 15:15,2012-03
Sandra Day O'Connor College of Law Faculty Scholarship Repository,Sandra Day O'Connor College of Law Faculty Scholarship Repository,,name,en,institutional,fully_functional,,Arizona State University,Arizona State University,,name,Ross-Blakley Law Library,Ross-Blakley Law Library,,name,3/16/2018 12:02,2/5/2009 11:11,2009-02
ScholArchive,ScholArchive: Pilot Repository Project,ScholArchive,acronym,en,institutional,replaced_by_new_url,2006,Florida Center for Library Automation,Florida Center for Library Automation,FCLA,name,,,,,4/7/2010 14:14,8/3/2006 1:01,2006-08
Scholar Commons - Institutional Repository of the University of South Carolina,Scholar Commons - Institutional Repository of the University of South Carolina,,,,institutional,fully_functional,,University of South Carolina,University of South Carolina,,name,,,,,3/21/2019 10:14,3/21/2019 10:12,2019-03
Scholar Commons - Santa Clara University,Scholar Commons - Santa Clara University,,name,en,institutional,fully_functional,,Santa Clara University,Santa Clara University,,name,Santa Clara University Library,Santa Clara University Library,,name,4/17/2018 12:29,11/17/2016 14:16,2016-11
Scholar Commons - University of South Florida,Scholar Commons - University of South Florida,,name,en,institutional,fully_functional,,University of South Florida,University of South Florida,,name,University of South Florida Tampa Library,University of South Florida Tampa Library,,name,3/21/2018 11:41,6/29/2012 16:41,2012-06
