UNIVERSITY,COUNTRY,CITATIONS
İstinye Üniversitesi,Turkey,8741
Juniata College,United States of America,8733
(1) Christ University Bengaluru,India,8731
Persian Gulf University Bushehr,Iran,8728
I Shou University,Taiwan,8726
Széchenyi István University Győr,Hungary,8725
(1) Hanoi University of Science & Technology,Viet Nam,8725
Georgia College & State University,United States of America,8724
College of the Atlantic,United States of America,8718
Bryant University,United States of America,8703
Maseno University,Kenya,8696
Universitas Pendidikan Ganesha,Indonesia,8693
Bellarmine University,United States of America,8692
Kazakh National University Al Farabi,Kazakhstan,8690
Samara State Academy of Social Sciences and Humanities,Russia,8684
FLACSO Ecuador Facultad Latinoamericana de Ciencias Sociales,Ecuador,8673
Universidade Federal do Estado do Rio de Janeiro UNIRIO,Brazil,8666
Vels University Chennai,India,8646
Pacific University Oregon,United States of America,8641
Universidade Federal de Integração Luso Afro Brasileira UNILAB,Brazil,8635
University of Agricultural Sciences Bangalore,India,8623
Dhurakijpundit University,Thailand,8621
Aswan University,Egypt,8615
Universitas Negeri Jakarta,Indonesia,8615
Plovdiv University Paisii Hilendarski,Bulgaria,8599
Osaka Medical College,Japan,8592
Robert Morris University,United States of America,8587
Rhode Island College,United States of America,8582
Indira Gandhi National Tribal University,India,8575
Kobe Pharmaceutical University,Japan,8565
Altai State University,Russia,8557
National Taipei University of Business,Taiwan,8554
Universidad del Zulia,Venezuela,8551
Hochschule Magdeburg Stendal,Germany,8548
Sri Venkateswara College of Engineering,India,8531
(3) Lagos State University College of Medicine,Nigeria,8529
(1) European University of Lefke,,8505
Université de Toulouse I,France,8498
Le Moyne College,United States of America,8493
Ordu University,Turkey,8487
Universidade Estadual da Paraíba UEPB,Brazil,8484
Al Al-Bayt University,Jordan,8484
Nyenrode Business University,Netherlands,8467
University of the Fraser Valley,Canada,8461
Instituto Superior Politécnico de Viseu,Portugal,8458
Université de Paris X,France,8455
Universidade do Oeste Paulista UNOESTE,Brazil,8454
Capital Medical University,China,8451
Molde University College,Norway,8450
St Marianna University School of Medicine,Japan,8448
Troy University,United States of America,8441
Mgh Institute of Health Professions,United States of America,8440
Jawaharlal Institute of Postgraduate Medical Education & Research,India,8435
University of Medical Sciences & Technology,Sudan,8430
Kastamonu University,Turkey,8405
Slovak University of Agriculture in Nitra,Slovakia,8401
Hitit University,Turkey,8398
Université Sidi Mohammed Ben Abdellah Fes,Morocco,8396
Maltepe University,Turkey,8392
Institut Polytechnique Lasalle Beauvais,France,8373
Can Tho University,Viet Nam,8364
Instituto Politécnico de Setúbal,Portugal,8350
CUNY Borough of Manhattan Community College,United States of America,8343
Turtle Mountain Community College,United States of America,8336
(4) National University,United States of America,8312
Université de Lyon III,France,8306
Inland Norway University of Applied Sciences,Norway,8298
University of Jaffna,Sri Lanka,8296
Bursa Teknik Üniversitesi,Turkey,8287
Soochow University Taiwan,Taiwan,8286
University of Natural Sciences and the Humanities in Siedlce,Poland,8284
Universidad de Magallanes,Chile,8281
Vancouver Island University (Malaspina),Canada,8270
Eckerd College,United States of America,8268
Gomel State University,Belarus,8262
Teikyo University,Japan,8245
Fort Hays State University,United States of America,8243
Shanghai University of Engineering Science,China,8227
Opole University of Technology,Poland,8226
Universitas Malahayati,Indonesia,8218
Hitotsubashi University,Japan,8216
Hendrix College,United States of America,8216
Keene State College,United States of America,8214
Hemwati Nandan Bahuguna Garhwal University,India,8206
University of Louisiana at Monroe,United States of America,8194
Southeast Missouri State University,United States of America,8181
Shippensburg University of Pennsylvania,United States of America,8175
Mekelle University,Ethiopia,8173
Guizhou University (Institute of Technology),China,8163
University of Wollongong in Dubai,United Arab Emirates,8151
Hochschule München,Germany,8148
Mahatma Gandhi University Kerala,India,8138
Delaware State University,United States of America,8133
Mutah University,Jordan,8130
Odessa State Environmental University,Ukraine,8128
(3) Auburn University Montgomery,United States of America,8128
MCPHS University (Massachusetts College of Pharmacy & Health Sciences),United States of America,8125
University Ovidius,Romania,8094
RMIT International University Vietnam,Viet Nam,8087
Moscow Technological University,Russia,8082
University of Birjand,Iran,8076
Shanghai University of Electric Power,China,8071
Valparaiso University,United States of America,8068
National Pingtung University of Science & Technology,Taiwan,8050
Texas A&M University San Antonio,United States of America,8049
University of Arkansas Pine Bluff,United States of America,8048
Providence University,Taiwan,8046
ITESO Universidad Jesuita de Guadalajara,Mexico,8035
Hochschule für Technik und Wirtschaft Dresden,Germany,8034
Universitas Terbuka,Indonesia,8029
National Taichung University,Taiwan,8025
Kharkiv National University of Economics,Ukraine,8025
Purdue University Fort Wayne,United States of America,8025
University of Limpopo,South Africa,8024
Grand Canyon University,United States of America,8022
Hochschule für Gesundheits- und Medizinberufe Hamburg,Germany,8015
Technische Hochschule Deggendorf (Hochschule für Angewandte Wissenschaften Deggendorf),Germany,7998
University of Pardubice,Czech Republic,7982
Shaqra University,Saudi Arabia,7982
Medical University of Lublin,Poland,7973
Universidad Católica de Colombia,Colombia,7964
Mercyhurst University,United States of America,7950
Instituto Politécnico de Viana do Castelo,Portugal,7942
University of Macau,Macao,7923
University of Moratuwa,Sri Lanka,7912
Tokyo Gakugei University,Japan,7909
Universitas Sebelas Maret UNS Surakarta,Indonesia,7907
Coimbatore Institute of Technology,India,7902
Guru Angad Dev Veterinary & Animal Science University,India,7902
Chelyabinsk State Pedagogical University,Russia,7901
Dhofar University,Oman,7894
(1) University of Kashmir,India,7885
Jaypee University of Information Technology Waknaghat,India,7884
Universidade Católica Dom Bosco,Brazil,7882
Universidade Federal do Oeste do Para,Brazil,7869
Grodno State Medical University,Belarus,7856
Millersville University of Pennsylvania,United States of America,7855
Università di Macerata (Università degli Studi di Macerata),Italy,7854
National Institute of Technology Jamshedpur,India,7850
Hazara University,Pakistan,7845
State University of New York SUNY Potsdam,United States of America,7836
Universidade Europeia (Instituto Superior de Linguas e Administração Lisboa),Portugal,7835
Charotar University of Science & Technology,India,7834
Winston Salem State University,United States of America,7833
Universidad Central del Ecuador,Ecuador,7829
Universidade Regional de Blumenau FURB,Brazil,7827
Université Côte d'Azur (comUE Université Côte d'Azur),France,7816
Chelyabinsk State University,Russia,7816
İstanbul MEF Üniversitesi,Turkey,7815
Anand Agricultural University,India,7808
Suwon University,South Korea,7806
Technical University of Koszalin,Poland,7805
(1) Damascus University,Syria,7805
European Business School Schloss Reichartshausen,Germany,7799
Golestan University,Iran,7791
Université d'Abomey Calavi,Benin,7779
Urmia University of Medical Sciences,Iran,7776
National Aviation University (Kyiv International University of Civil Aviation),Ukraine,7773
University of Southern Indiana,United States of America,7764
Moscow State University of Psychology and Education,Russia,7755
Kilis 7 Aralık University,Turkey,7749
Sciences Po Bordeaux Institut d'Études Politiques de Bordeaux (ComUE d'Aquitaine),France,7748
Philadelphia College of Osteopathic Medicine,United States of America,7746
Arab American University,Palestinian Territory,7732
Nevşehir University,Turkey,7720
Tzu Chi University,Taiwan,7714
Universidad Autónoma de Baja California Sur,Mexico,7711
(1) California State University Fresno,United States of America,7704
Riga Technical University,Latvia,7700
Kyiv National University of the Technology and Design,Ukraine,7685
Vietnamese German University,Viet Nam,7666
Kurdistan University of Medical Sciences Sanandaj,Iran,7665
Technical University of Moldova,Moldova,7665
University of Economics in Katowice,Poland,7662
Hyogo University of Health Sciences,Japan,7655
Islamic Azad University South Tehran,Iran,7641
Sami Shamoon College of Engineering,Israel,7637
Sinop University,Turkey,7632
Croatian Catholic University of Zagreb,Croatia,7630
Université de Paris II,France,7622
Gümüshane University,Turkey,7618
University of Medicine and Pharmacy Targu Mures,Romania,7617
Klaipėda University,Lithuania,7613
University of Kerala,India,7611
Mary Immaculate College University of Limerick,Ireland,7608
Technological Educational Institute of Sterea Ellada,Greece,7603
Andhra University Visakhapatnam,India,7602
Forman Christian College Lahore,Pakistan,7601
Yaroslav Mudryi National Law University,Ukraine,7597
NIMS University,India,7594
Shandong University of Technology,China,7584
University of the Arts London,United Kingdom,7577
Universidade do Estado da Bahia UNEB,Brazil,7573
Fujian Medical University,China,7566
Tel Aviv College of Engineering,Israel,7562
International Antalya University,Turkey,7562
Escola Superior de Propaganda e Marketing ESPM,Brazil,7553
Università degli Studi Niccolò Cusano (Università delle Scienze Umane),Italy,7543
Ashland University,United States of America,7533
Azarbaijan Shahid Madani University Tarbiat Moallem,Iran,7529
Webster University Geneva,Switzerland,7526
Hainan University (South China Tropical Agricultural University),China,7525
Lagos State University,Nigeria,7519
Chennai Mathematical Institute,India,7518
Moravian College,United States of America,7507
New Jersey City University,United States of America,7501
Arkansas Tech University,United States of America,7493
Universitas Jenderal Soedirman,Indonesia,7491
Miyazaki Prefectural Nursing University,Japan,7481
Tohoku Medical and Pharmaceutical University,Japan,7481
Dayalbagh Educational Institute,India,7474
Tatung University,Taiwan,7467
Mepco Schlenk Engineering College,India,7458
National Institute of Technology Uttarakhand,India,7457
Adana Science and Technology University,Turkey,7444
Redeemer's University,Nigeria,7437
Namibia University of Science and Technology (Polytechnic of Namibia),Namibia,7428
O M Beketov National University of Urban Economy in Kharkiv,Ukraine,7423
Governors State University,United States of America,7420
Alabama A&M University,United States of America,7417
Dnipropetrovsk State Medical Academy,Ukraine,7404
(1) Tianjin Medical University,China,7402
Universidade de Santa Cruz do Sul UNISC,Brazil,7377
Sagami Women's University,Japan,7376
Susquehanna University,United States of America,7376
Kitami Institute of Technology,Japan,7364
Mahasarakham University,Thailand,7364
Islamic Azad University Rasht,Iran,7357
Belarusian State Medical University,Belarus,7356
Kharkiv National University of Radio Electronics,Ukraine,7354
Silpakorn University,Thailand,7349
Universidad de la Sabana,Colombia,7346
(1) Zhejiang Gongshang University,China,7342
New York Law School,United States of America,7338
Universidad Tecnológica de La Habana José Antonio Echeverría,Cuba,7334
University of Ruse Angel Kanchev,Bulgaria,7333
British University in Dubai,United Arab Emirates,7326
Universidad Autónoma Chapingo,Mexico,7325
Kabardino Balkarian State University,Russia,7325
Universidade Federal do Vale do São Francisco UNIVASF,Brazil,7320
Burgundy School of Business BSB (ex-ESC Dijon) (comUE Université Bourgogne Franche Comté),France,7319
National Economics University,Viet Nam,7319
Ardabil University of Medical Sciences,Iran,7315
(3) Universidad de la República Facultad de Agronomía,Uruguay,7314
(3) Université de Monastir École Nationale d'Ingénieurs de Monastir,Tunisia,7313
Indiana University Southeast,United States of America,7310
Universidad Tecnológica Equinoccial,Ecuador,7304
United International College,Hong Kong,7304
Bethel University Minnesota,United States of America,7292
Meerut Institute of Engineering and Technology,India,7289
North Eastern Federal University MK Ammosova (Yakutsk State University),Russia,7286
Batman University,Turkey,7271
Università IUAV di Venezia (Istituto universitario di architettura di Venezia),Italy,7265
Golestan University of Medical Sciences,Iran,7257
Istanbul Sabahattin Zaim University,Turkey,7256
Instituto Federal de Educação Ciência e Tecnologia do Ceará,Brazil,7252
Sikkim Universtiy,India,7240
University of Jammu,India,7235
Ömer Halisdemir University,Turkey,7226
Eastern Washington University,United States of America,7226
Institute of World Economy,Russia,7223
GLA University,India,7222
Okan University,Turkey,7222
University of Development Alternative,Bangladesh,7209
Ohio Wesleyan University,United States of America,7201
Semnan University of Medical Sciences,Iran,7199
(1) Northeastern State University,United States of America,7198
Pacific Lutheran University,United States of America,7193
Universitas Nasional,Indonesia,7192
Technical University of Liberec,Czech Republic,7184
Drew University,United States of America,7184
Interregional Academy of Personnel Management,Ukraine,7175
Universidade Salvador UNIFACS,Brazil,7157
B V B College of Engineering and Technology,India,7156
Immanuel Kant State University of Russia (Kaliningrad State University),Russia,7146
Ramapo College of New Jersey,United States of America,7143
Shanghai University of Finance & Economics,China,7142
Fachhochschule Münster,Germany,7136
Universidade Federal do Recôncavo da Bahia UFRB,Brazil,7129
Guangxi Normal University,China,7129
Institut Barcelona d’Estudis Internacionals,Spain,7128
Dr D Y Patil Vidyapeeth,India,7116
Vietnam National University of Agriculture (Hanoi Agricultural University),Viet Nam,7105
Sinhgad College of Pharmacy,India,7097
Jessore University of Science & Technology,Bangladesh,7095
Kashan University of Medical Sciences,Iran,7075
Rostov State Medical University,Russia,7065
Universidad de Cuenca,Ecuador,7064
Mizoram University,India,7063
Universidad de Caldas,Colombia,7057
Indian Institute of Information Technology and Management Gwalior,India,7050
Universidad Iberoamericana,Mexico,7043
Swedish School of Sports and Health Sciences,Sweden,7040
Byisk Technological Institute,Russia,7027
Islamic Azad University Arak,Iran,7026
Universidad Nacional del Nordeste,Argentina,7025
Riphah International University,Pakistan,7025
Shahid Rajaee Teacher Training University Tehran,Iran,7020
Pandit Deendayal Petroleum University,India,7013
"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",India,7011
National University of Food Technologies Kyiv,Ukraine,7010
University for Humanistics,Netherlands,7004
University of Zadar,Croatia,6993
Universidad Nacional de Salta,Argentina,6987
Princess Sumaya University for Technology,Jordan,6985
Iwate Medical University,Japan,6985
University of South Carolina Upstate,United States of America,6979
Inner Mongolia University,China,6977
Trinity Western University,Canada,6975
Yunnan University,China,6969
Fachhochschule Saint Polten,Austria,6968
Clarion University of Pennsylvania,United States of America,6968
AAB University,Serbia,6961
Tel Hai Academic College,Israel,6955
Babcock University,Nigeria,6948
University of Dallas,United States of America,6948
Krok University (Kyiv University of Economics and Law of the CRIC ),Ukraine,6947
Frostburg State University,United States of America,6941
Islamic Azad University Lahijan,Iran,6936
Van Hall Larenstein,Netherlands,6933
Wrocław University of Environmental and Life Sciences (Agricultural University),Poland,6924
Tomsk State University of Control Systems and Radioelectronics,Russia,6916
Universidad Autónoma de Campeche,Mexico,6912
Université Ibnou Zohr d'Agadir,Morocco,6908
Kutztown University,United States of America,6907
Université de M'Sila,Algeria,6905
Musashino University,Japan,6904
École Nationale Supérieure des Arts et Industries Textiles,France,6902
Palestine Polytechnic University,Palestinian Territory,6901
Universidad Politécnica Salesiana Ecuador,Ecuador,6892
Escola Superior Agrária de Coimbra,Portugal,6876
University of Rajasthan Jaipur,India,6873
Al Ain University of Science & Technology,United Arab Emirates,6870
University of Zimbabwe,Zimbabwe,6869
Oregon Institute of Technology,United States of America,6859
Universidade Positivo,Brazil,6850
University of Uyo,Nigeria,6837
Fatih Sultan Mehmet University,Turkey,6835
Jiangsu Academy of Agricultural Sciences,China,6831
Moscow State University of Railway Transport,Russia,6819
Tele-Université TÉLUQ,Canada,6818
Institut National des Sciences Appliquées de Strasbourg,France,6818
(3) Université de Carthage Faculté des Sciences de Bizerte,Tunisia,6818
Hormozgan University Bandar Abbas,Iran,6809
Hormozgan University of Medical Sciences Bandar Abbas,Iran,6808
University Lucian Blaga of Sibiu,Romania,6807
Ursinus College,United States of America,6800
Capital University of Science & Technology,Pakistan,6794
Shenandoah University,United States of America,6794
Indiana University Kokomo,United States of America,6791
(3) University of Pannonia Georgikon Faculty of Agriculture,Hungary,6788
Manukau Institute of Technology,New Zealand,6787
Perm State University,Russia,6775
Bilecik Şeyh Edebali Üniversitesi,Turkey,6758
Universidad de las Américas Ecuador,Ecuador,6756
Chongqing Medical University,China,6750
Malek Ashtar University of Technology Shahinshahr,Iran,6748
National Institute of Pharmaceutical Education and Research Hyderabad,India,6728
College of Idaho,United States of America,6712
Ilam University,Iran,6706
Universitas Hasanuddin,Indonesia,6702
Kongu Engineering College,India,6694
National University Odessa Academy of Law,Ukraine,6693
Universitas Islam Negeri UIN Walisongo Semarang,Indonesia,6691
Vinnitsa National Pirogov Memorial Medical University,Ukraine,6689
Oman Medical College,Oman,6686
(3) Sekolah Teknik Elektro dan Informatika Surabaya,Indonesia,6685
Hanze University Groningen,Netherlands,6680
MAHSA University,Malaysia,6673
Centro Nacional de Investigación y Desarrollo Tecnológico,Mexico,6660
Universidade do Sagrado Coração USC,Brazil,6655
Instituto Tecnológico de Veracruz,Mexico,6651
University of St Mark & St John Plymouth,United Kingdom,6649
Dr M G R University (Dr M G R Educational and Research Institute),India,6648
Universitas AMIKOM Yogyakarta,Indonesia,6646
(1) Catholic University of Daegu,South Korea,6642
Ahi Evran University,Turkey,6639
Technological Education Institute of Kavala,Greece,6638
Maharana Pratap University of Agriculture and Technology,India,6630
Birjand University of Medical Sciences,Iran,6629
Showa College of Pharmaceutical Sciences,Japan,6626
International Institute of Information Technology Bangalore,India,6618
Swinburne University of Technology Sarawak Campus,Malaysia,6616
Belarusian Medical Academy of Post Diploma Studies,Belarus,6612
Rajamangala University of Technology Thanyaburi,Thailand,6612
National Engineering College Kovilpatti,India,6610
Universidad de Ingeniería y Tecnología UTEC,Peru,6601
Lincoln Memorial University,United States of America,6600
CUNY Queensborough Community College,United States of America,6578
Macau Polytechnic Institute,Macao,6575
Sari Agricultural Science and Natural Resources University,Iran,6564
Tokyo University of Agriculture,Japan,6561
École Nationale d'Ingénieurs de Brest Bretagne ENIB (comUE Université Bretagne Loire),France,6550
Saint Mary's University Twickenham,United Kingdom,6546
Université de la Polynésie Française,French Polynesia,6541
University of Finance and Management in Warsaw,Poland,6536
Wentworth Institute of Technology,United States of America,6535
Universitas Riau,Indonesia,6523
Université de Dschang,Cameroon,6521
Gustavus Adolphus College,United States of America,6520
Mehran University of Engineering & Technology,Pakistan,6514
École Supérieure de Chimie Physique Électronique de Lyon CPE Lyon,France,6512
Universidad CEU Cardenal Herrera,Spain,6508
Università Telematica Internazionale UniNettuno,Italy,6507
École Nationale de l’Aviation Civile ENAC (comUE Université de Toulouse),France,6496
Institut für Hohere Studien Wien,Austria,6490
Shri Guru Gobind Singhji Institute of Engineering,India,6490
Prince Sattam bin Abdulaziz University,Saudi Arabia,6487
Borys Grinchenko Kyiv University,Ukraine,6487
Henan University of Technology,China,6482
Eastern Institute of Technology Hawke’s Bay and Tairāwhiti,New Zealand,6481
Mimar Sinan Fine Arts University,Turkey,6478
Escuela Agrícola Panamericana Zamorano,Honduras,6477
Universitas Kristen Duta Wacana,Indonesia,6474
Suan Sunandha Rajabhat University,Thailand,6463
Brigham Young University Idaho,United States of America,6461
Federal University of Technology Owerri,Nigeria,6460
Universitas Pasundan Bandung,Indonesia,6438
Hochschule Coburg,Germany,6436
Universitas Lampung,Indonesia,6434
(3) University of the Philippines Manila,Philippines,6432
Morehead State University,United States of America,6428
Université Setif 1 Ferhat Abbas Setif,Algeria,6423
Facultad Latinoamericana de Ciencias Sociales,,6421
Gelişim University,Turkey,6410
(1) Incheon National University (University of Incheon),South Korea,6406
Instituto Politécnico do Cavado e do Ave,Portugal,6399
Chinese Culture University,Taiwan,6391
Southwest Petroleum University,China,6381
Technological Education Institute of Piraeus,Greece,6374
Mehmet Akif Ersoy University,Turkey,6366
School of Advanced Study University of London,United Kingdom,6357
Telkom University,Indonesia,6341
Phetchaburi Rajabhat University,Thailand,6334
Hochschule Mannheim,Germany,6333
Chatham University,United States of America,6332
Kyungnam University,South Korea,6330
Rakuno Gakuen University,Japan,6328
UTP University of Science and Technology Bydgoszcz,Poland,6328
University of Swabi,Pakistan,6325
California State University Stanislaus,United States of America,6325
University of Indianapolis,United States of America,6314
(3) Shanghai Jiao Tong University School of Medicine (Second Medical University),China,6295
Universidade Estadual do Norte do Paraná UENP,Brazil,6294
École Supérieure des Technologies Industrielles Avancées,France,6292
Wuhan Institute of Technology (Institute of Chemical Technology),China,6288
Universidad del Atlántico,Colombia,6284
Aichi Medical University,Japan,6282
Central University of Technology,South Africa,6280
Det Kongelige Danske Kunstakademis Skoler for Arkitektur Design og Konservering,Denmark,6279
Hochschule Osnabrück,Germany,6277
Université de Mascara,Algeria,6277
University of Health Sciences Lahore,Pakistan,6277
Al Ghurair University,United Arab Emirates,6273
Université Badji Mokhtar de Annaba,Algeria,6270
Shandong Normal University,China,6267
Jiangxi Normal University (National Chung Cheng University),China,6256
Belarusian State Technological University,Belarus,6255
Neapolis University of Pafos,Cyprus,6247
University of Oradea,Romania,6246
University of Dubai,United Arab Emirates,6245
National University of Physical Education and Sport of Ukraine,Ukraine,6237
(3) Universidad de Puerto Rico Río Piedras,Puerto Rico,6223
La Sierra University,United States of America,6223
Suez University,Egypt,6211
Universidade Anhembi Morumbi,Brazil,6209
California Baptist University,United States of America,6202
Worcester State University,United States of America,6202
Bashkir State University,Russia,6200
(1) Technische Hochschule Wildau,Germany,6199
(3) Tecnun Universidad de Navarra,Spain,6198
Fachhochschule Salzburg,Austria,6193
Indonesian Computer University UNIKOM,Indonesia,6185
Qazvin University of Medical Sciences,Iran,6185
Universidad Técnica Particular de Loja,Ecuador,6182
Toin University of Yokohama,Japan,6172
Hebei University,China,6161
IAIN Parepare,Indonesia,6157
Universidad Nacional de Misiones,Argentina,6153
University of Wisconsin Platteville,United States of America,6153
Lala Lajpat Rai University of Veterinary and Animal Sciences,India,6136
Yangtze University,China,6134
Pedagogical University of Cracow,Poland,6130
Ankara Sosyal Bilimler University,Turkey,6129
Université 08 Mai 1945 Guelma,Algeria,6127
Government College of Technology Coimbatore,India,6124
(3) Universidad de la República Instituto de Física Facultad de Ciencias,Uruguay,6117
Arak University of Medical Sciences,Iran,6112
Universitas Bengkulu,Indonesia,6100
(1) Kharkiv National Medical University,Ukraine,6094
Sri Sairam Institute of Technology Chennai,India,6088
Princess Nourah Bint Abdulrahman University,Saudi Arabia,6088
Chongqing University of Technology,China,6087
K S Rangasamy College of Technology,India,6082
Konya Food and Agricultural University,Turkey,6077
University of Defence Czech Republic,Czech Republic,6076
University for Development Studies,Ghana,6075
Dr Y S Parmar University of Horticulture and Forestry,India,6072
American University in the Emirates,United Arab Emirates,6067
National University of Water and Environmental Engineering,Ukraine,6062
Portland Community College,United States of America,6056
Khulna University,Bangladesh,6048
Odessa National University of Economics,Ukraine,6044
Qom University,Iran,6043
Austin Peay State University,United States of America,6039
Webster University Vienna,Austria,6033
Bridgewater State University,United States of America,6033
Muhlenberg College,United States of America,6026
Aja (Army) University of Medical Sciences,Iran,6022
Université de Tébessa,Algeria,6021
Ilam University of Medical Sciences,Iran,6018
Istanbul Kemerburgaz University,Turkey,6016
Pyatigorsk State Linguistic University,Russia,6006
Erzurum Teknik Üniversitesi,Turkey,5998
University of Findlay,United States of America,5994
University of North Georgia,United States of America,5984
Islamic Azad University Mahshahr,Iran,5983
University of the Faroe Islands,Faroe Islands,5982
École Nationale Supérieure de Mécanique et des Microtechniques de Besançon ENSMM (comUE Université Bourgogne Franche Comté),France,5977
Shahrekord University of Medical Sciences,Iran,5975
Lake Superior State University,United States of America,5969
(1) University of West Hungary,Hungary,5965
Technological Education Institute of Patras,Greece,5964
Korea Maritime University,South Korea,5959
(1) Saxion University of Professional Education,Netherlands,5957
Universidad del Quindío,Colombia,5952
Tyumen State University,Russia,5949
Toulouse Business School (comUE Université de Toulouse),France,5937
Dibrugarh University,India,5937
Universidad CES,Colombia,5925
Pwani University,Kenya,5924
George Fox University,United States of America,5924
Mindanao State University Iligan Institute of Technology,Philippines,5915
University of Žilina,Slovakia,5909
Universidad Científica del Sur,Peru,5904
Instituto Politécnico de Castelo Branco,Portugal,5904
Universitas Katolik Parahyangan,Indonesia,5902
Chicago State University,United States of America,5900
Fujian Agriculture & Forestry University,China,5896
Rajiv Gandhi University,India,5895
Notre Dame University Lebanon,Lebanon,5892
Universitas Pelita Harapan,Indonesia,5891
German Graduate School of Management & Law,Germany,5889
Mahatma Gandhi Medical College & Research Institute,India,5888
(1) Berhampur University,India,5887
University of Kaposvár,Hungary,5884
University of Suffolk,United Kingdom,5881
Roanoke College,United States of America,5881
Novia University of Applied Sciences (Sydvast Polytechnic),Finland,5874
University of Tuzla,Bosnia and Herzegovina,5872
Bayero University Kano,Nigeria,5866
Fukui Prefectural University,Japan,5860
Wheaton College Illinois,United States of America,5858
Universidade Luterana do Brasil ULBRA,Brazil,5853
Philadelphia University at Jordan,Jordan,5852
A'Sharqiyah University,Oman,5849
Ono Academic College,Israel,5847
(3) Ukrainian Academy of Banking National Bank of Ukraine,Ukraine,5834
Southampton Solent University,United Kingdom,5834
Vaal University of Technology,South Africa,5830
US Naval War College,United States of America,5828
Bartin University,Turkey,5821
Jawaharlal Nehru Technological University Anantapur,India,5820
Northwest Normal University,China,5817
(3) Université de Sfax Faculté des Sciences Économiques et de Gestion de Sfax,Tunisia,5800
Pharos University in Alexandria,Egypt,5797
Rajarata University,Sri Lanka,5796
Universidade Santa Cecilia UNISANTA,Brazil,5792
Trakia University Stara Zagora,Bulgaria,5791
Emmanuel College Boston,United States of America,5791
Altai State Technical University,Russia,5784
Universidade do Mogi Das Cruzes UMC,Brazil,5779
Institution de la Recherche et de l'Enseignement Supérieur Agricoles,Tunisia,5768
National Chin Yi University of Technology,Taiwan,5767
Université de Batna 2,Algeria,5766
Université Hassiba Benbouali de Chlef,Algeria,5758
Université Saad Dahlab Blida,Algeria,5754
Bidhan Chandra Krishi Viswavidyalaya,India,5742
St Catherine University (College of Saint Catherine),United States of America,5742
Istanbul Arel University,Turkey,5736
Universitas Kristen Satya Wacana,Indonesia,5731
Universidad de Ciencias y Artes de Chiapas,Mexico,5730
Zhytomyr Ivan Franko State University,Ukraine,5730
Kumaun University Nainital,India,5727
Shahrood Medical Science University,Iran,5724
Xiamen University Malaysia Campus,Malaysia,5721
Sapientia Hungarian University of Transylvania,Romania,5713
Albright College,United States of America,5711
Instituto Tecnológico de Buenos Aires,Argentina,5705
Nuclear Institute for Agriculture and Biology,Pakistan,5703
Dr Hari Singh Gour University Sagar University,India,5698
Memorial University Grenfell Campus,Canada,5694
University of Mary Hardin Baylor,United States of America,5694
Ulyanovsk State Technical University,Russia,5691
Open University of Sri Lanka,Sri Lanka,5687
OCAD University (Ontario College of Art & Design),Canada,5686
Fukuoka Institute of Technology,Japan,5684
Washburn University,United States of America,5681
Universidad de Mondragon Mondragon Unibertsitatea,Spain,5679
Vel Tech Dr RR & Dr SR Technical University,India,5679
Universidad Autónoma de la Ciudad de México,Mexico,5673
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,5668
University of Jos,Nigeria,5667
Universidade Paranaense UNIPAR,Brazil,5659
Dr Reddy's Institute of Life Sciences,India,5655
National Defense Medical College,Japan,5655
Universidade FEEVALE,Brazil,5654
National University of Pharmacy Ukraine,Ukraine,5649
ABES Engineering College,India,5636
Escola Superior de Enfermagem do Porto,Portugal,5635
University of Trinidad and Tobago,Trinidad and Tobago,5631
École Centrale de Marseille,France,5624
Universitas Atma Jaya Yogyakarta,Indonesia,5624
Universidad de Manizales,Colombia,5614
Rajshahi University of Engineering and Technology,Bangladesh,5611
Chukyo University,Japan,5605
Spelman College,United States of America,5597
National Metallurgical Academy of Ukraine,Ukraine,5595
Universitas Sriwijaya,Indonesia,5590
Govind Ballabh Pant University of Agriculture & Technology College of Basic Sciences and Humanities,India,5590
Marist College,United States of America,5590
Regent University,United States of America,5588
Novosibirsk State Technical University,Russia,5587
Management Development Institute,India,5575
Pratt Institute,United States of America,5575
IFTM University,India,5572
National Defense University,United States of America,5564
Yugra State University,Russia,5553
Pondicherry Engineering College,India,5550
Karamanoğlu Mehmetbey University,Turkey,5547
V I Vernadsky Crimean Federal University,,5545
Facultad Latinoamericana de Ciencias Sociales Argentina,Argentina,5543
(1) Jai Narain Vyas University,India,5543
Institute of Space Technology,Pakistan,5541
Agricultural University of Iceland,Iceland,5540
Tarleton State University,United States of America,5540
Campbell University,United States of America,5526
Universidade Metodista de São Paulo,Brazil,5524
Akita Prefectural University,Japan,5521
Cheng Shiu University,Taiwan,5516
Kermanshah University of Technology,Iran,5515
Hamdan Bin Mohammed Smart University,United Arab Emirates,5513
Ned University of Engineering & Technology,Pakistan,5513
Universitas Tanjungpura,Indonesia,5512
(3) Université de Carthage Institut National des Sciences Appliquées et de la Technologie,Tunisia,5512
University of Alaska Southeast,United States of America,5512
Technological Education Institute of Western Greece,Greece,5510
Vytautas Magnus University,Lithuania,5510
National Centre of Excellence in Analytical Chemistry University of Sindh,Pakistan,5510
American University of Madaba,Jordan,5506
