UNIVERSITY,COUNTRY,CITATIONS
Universitat Politècnica de Catalunya BarcelonaTech,Spain,142748
Université de Sherbrooke,Canada,142675
Pohang University of Science & Technology,South Korea,142380
Central South University (Zhongnan University),China,141245
Ben Gurion University of the Negev,Israel,141179
Universitat Jaume I,Spain,141107
Tongji University,China,141104
Keele University,United Kingdom,140644
University of Mississippi Medical Center,United States of America,140519
(3) Louisiana State University Health Sciences Center New Orleans,United States of America,140370
Università degli Studi di Messina,Italy,140066
Pusan National University (Miryang),South Korea,139818
University of Stirling,United Kingdom,139575
Memorial University of Newfoundland,Canada,139218
Université de Paris V,France,139043
Brighton and Sussex Medical School,United Kingdom,138992
Aston University,United Kingdom,138936
University of North Carolina Charlotte,United States of America,138880
Heriot-Watt University,United Kingdom,138505
Beihang University (Beijing University of Aeronautics and Astronautics),China,138422
École Normale Supérieure de Lyon (comUE Université de Lyon),France,138240
Universidad de Sevilla,Spain,138218
Okayama University,Japan,138206
Universidad de Chile,Chile,137736
Universidade do Porto,Portugal,137381
Missouri University of Science & Technology,United States of America,137143
University of Kwazulu Natal,South Africa,136940
Shanghai University,China,136626
London Business School,United Kingdom,136280
Gwangju Institute of Science & Technology,South Korea,136114
Università degli Studi dell'Insubria Varese e Como,Italy,136111
Universidad Politécnica de Madrid,Spain,135887
University of Crete,Greece,135844
(3) University of Oklahoma Health Sciences Center,United States of America,135826
Singapore Management University,Singapore,135687
University of Turku,Finland,135666
University of Wyoming,United States of America,135612
CUNY Hunter College,United States of America,135088
Beijing Institute of Technology,China,134886
Miami University of Ohio,United States of America,134711
Utah State University,United States of America,134644
New Mexico State University,United States of America,134612
Université du Luxembourg,Luxembourg,133212
(1) Indian Institute of Technology Delhi,India,132175
Indian Institute of Science Bangalore,India,130800
Lomonosov Moscow State University,Russia,130467
Indian Institute of Technology Madras,India,129895
Claremont Graduate University,United States of America,129404
Warsaw University of Technology,Poland,129323
Tokyo Medical and Dental University,Japan,129001
Technische Universität Darmstadt,Germany,128986
Universita degli Studi Magna Graecia di Catanzaro,Italy,128247
Murdoch University,Australia,127961
Lanzhou University,China,127912
Tokyo University of Agriculture and Technology,Japan,127437
University of Tampere,Finland,127083
University of Plymouth,United Kingdom,126764
Stellenbosch University,South Africa,126544
State University of New York Downstate Medical Center Brooklyn,United States of America,126530
American University Washington DC,United States of America,126520
Ernst Moritz Arndt Universität Greifswald,Germany,126452
Uniformed Services University of the Health Sciences,United States of America,126055
Worcester Polytechnic Institute,United States of America,125737
University of Canberra,Australia,125584
Swedish University of Agricultural Sciences,Sweden,125009
California State University Fullerton,United States of America,124627
Cranfield University,United Kingdom,124219
Universidade Federal de Viçosa UFV,Brazil,123830
Stockholm School of Economics,Sweden,123819
Université de Lorraine,France,123692
University of Patras (incl University of Western Greece),Greece,123554
Universität Augsburg,Germany,123496
Università Campus Bio Medico di Roma,Italy,123145
University of Akron,United States of America,122639
University of Johannesburg,South Africa,122455
New York Medical College,United States of America,122451
University of North Carolina at Greensboro,United States of America,121802
Teerthanker Mahaveer University Moradabad,India,121098
Collège de France (comUE Université Paris PSL),France,120313
Texas State University,United States of America,120267
Koç University,Turkey,119686
University of Tromso,Norway,119491
Central Michigan University,United States of America,119466
Universidad de Murcia,Spain,119185
Punjab Agricultural University Ludhiana,India,118785
Juntendo University,Japan,118731
Loyola University Chicago,United States of America,118498
Université INRS Institut National de la Recherche Scientifique,Canada,118490
Universidad de Buenos Aires,Argentina,118445
Bilkent University,Turkey,118431
